ds,city,yhat,yhat_lower,yhat_upper
2025-07-16 14:00:00,Patna,27.98,27.979999441276775,27.98000053892669
2025-07-16 15:00:00,Patna,27.98,27.97999936048298,27.980000585503724
2025-07-16 16:00:00,Patna,27.98,27.979999313774883,27.980000649925756
2025-07-16 17:00:00,Patna,27.98,27.979999221286374,27.980000709391827
2025-07-16 18:00:00,Patna,27.98,27.97999917351946,27.980000747979037
2025-07-16 19:00:00,Patna,27.98,27.979999093180922,27.9800008174081
2025-07-16 20:00:00,Patna,27.98,27.979999066774436,27.98000088436991
2025-07-16 21:00:00,Patna,27.98,27.97999899810795,27.980000960131626
2025-07-16 22:00:00,Patna,27.98,27.979998913817433,27.980001034224014
2025-07-16 23:00:00,Patna,27.98,27.979998854560126,27.98000111859037
2025-07-17 00:00:00,Patna,27.98,27.97999880030194,27.980001196768196
2025-07-17 01:00:00,Patna,27.98,27.97999871814308,27.980001255952498
2025-07-17 02:00:00,Patna,27.98,27.979998633153574,27.980001333415373
2025-07-17 03:00:00,Patna,27.98,27.979998511315284,27.980001387296863
2025-07-17 04:00:00,Patna,27.98,27.979998435571623,27.980001425649043
2025-07-17 05:00:00,Patna,27.98,27.979998343503954,27.980001526069074
2025-07-17 06:00:00,Patna,27.98,27.979998258096813,27.98000159496602
2025-07-17 07:00:00,Patna,27.98,27.979998154211405,27.980001712755556
2025-07-17 08:00:00,Patna,27.98,27.979998070622642,27.980001789095322
2025-07-17 09:00:00,Patna,27.98,27.979998005975137,27.9800019453918
2025-07-17 10:00:00,Patna,27.98,27.979997916055854,27.980002063982226
2025-07-17 11:00:00,Patna,27.98,27.979997829650546,27.980002148385474
2025-07-17 12:00:00,Patna,27.98,27.979997749491478,27.980002214243562
2025-07-17 13:00:00,Patna,27.98,27.979997656471767,27.980002283743893
2025-07-17 14:00:00,Patna,27.98,27.97999758834357,27.98000240612321
2025-07-17 15:00:00,Patna,27.98,27.979997438768695,27.98000250998887
2025-07-17 16:00:00,Patna,27.98,27.97999731946882,27.980002614632205
2025-07-17 17:00:00,Patna,27.98,27.979997211184788,27.980002723080958
2025-07-17 18:00:00,Patna,27.98,27.979997084693274,27.98000280882832
2025-07-17 19:00:00,Patna,27.98,27.979996972130245,27.98000296177075
2025-07-17 20:00:00,Patna,27.98,27.979996836494998,27.980003038061113
2025-07-17 21:00:00,Patna,27.98,27.979996725010555,27.98000315827129
2025-07-17 22:00:00,Patna,27.98,27.979996600119815,27.980003237327484
2025-07-15 13:00:00,Purnia,70.32,70.31999990793192,70.32000008490391
2025-07-15 22:00:00,Purnia,70.32,70.31999990926306,70.32000008532759
2025-07-15 23:00:00,Purnia,70.32,70.31999990746118,70.32000009261039
2025-07-16 00:00:00,Purnia,70.32,70.31999990247671,70.32000009536398
2025-07-16 01:00:00,Purnia,70.32,70.31999989387552,70.3200001094655
2025-07-16 02:00:00,Purnia,70.32,70.31999988203549,70.3200001184968
2025-07-16 03:00:00,Purnia,70.32,70.31999984525848,70.32000014955632
2025-07-16 04:00:00,Purnia,70.32,70.3199997933034,70.32000018425865
2025-07-16 05:00:00,Purnia,70.32,70.31999971609868,70.32000024845007
2025-07-16 06:00:00,Purnia,70.32,70.31999963682708,70.32000032737193
2025-07-16 07:00:00,Purnia,70.32,70.31999952508343,70.3200004549025
2025-07-16 08:00:00,Purnia,70.32,70.31999942236872,70.32000052202694
2025-07-16 09:00:00,Purnia,70.32,70.31999934916188,70.32000063207278
2025-07-16 10:00:00,Purnia,70.32,70.31999923086003,70.32000075078825
2025-07-16 11:00:00,Purnia,70.32,70.31999913319855,70.3200009126038
2025-07-16 12:00:00,Purnia,70.32,70.31999897562235,70.32000101977033
2025-07-16 13:00:00,Purnia,70.32,70.31999884831092,70.32000116447898
2025-07-16 14:00:00,Purnia,70.32,70.319998696186,70.3200012880132
2025-07-16 15:00:00,Purnia,70.32,70.31999854915495,70.3200013713449
2025-07-16 16:00:00,Purnia,70.32,70.3199983465816,70.32000154781458
2025-07-16 17:00:00,Purnia,70.32,70.31999818001005,70.3200016913857
2025-07-16 18:00:00,Purnia,70.32,70.31999799910108,70.3200017583157
2025-07-16 19:00:00,Purnia,70.32,70.31999784847208,70.32000190332009
2025-07-16 20:00:00,Purnia,70.32,70.31999766524511,70.32000201295688
2025-07-16 21:00:00,Purnia,70.32,70.3199974934391,70.32000219922865
2025-07-16 22:00:00,Purnia,70.32,70.3199973338572,70.32000235446748
2025-07-16 23:00:00,Purnia,70.32,70.3199971631369,70.32000248081998
2025-07-17 00:00:00,Purnia,70.32,70.31999702361128,70.32000265343889
2025-07-17 01:00:00,Purnia,70.32,70.31999672294444,70.32000283442298
2025-07-17 02:00:00,Purnia,70.32,70.31999645879904,70.32000298417806
2025-07-17 03:00:00,Purnia,70.32,70.31999623931391,70.32000311650218
2025-07-17 04:00:00,Purnia,70.32,70.31999599712995,70.32000334949046
2025-07-17 05:00:00,Purnia,70.32,70.31999573768763,70.32000349687216
2025-07-17 06:00:00,Purnia,70.32,70.3199954081806,70.3200036797942
2025-07-17 07:00:00,Purnia,70.32,70.31999519915547,70.3200038289106
2025-07-17 08:00:00,Purnia,70.32,70.3199949597652,70.32000405138571
2025-07-17 09:00:00,Purnia,70.32,70.31999472366414,70.32000429423489
2025-07-17 10:00:00,Purnia,70.32,70.31999446826504,70.3200045019865
2025-07-17 11:00:00,Purnia,70.32,70.31999421959279,70.32000470574016
2025-07-17 12:00:00,Purnia,70.32,70.31999398425924,70.32000485058158
2025-07-17 13:00:00,Purnia,70.32,70.31999372910127,70.32000502615315
2025-07-17 14:00:00,Purnia,70.32,70.31999344853077,70.32000525855332
2025-07-17 15:00:00,Purnia,70.32,70.31999318623569,70.3200054772679
2025-07-17 16:00:00,Purnia,70.32,70.31999282047799,70.32000572706295
2025-07-17 17:00:00,Purnia,70.32,70.3199925899005,70.32000592208755
2025-07-17 18:00:00,Purnia,70.32,70.31999228925933,70.32000619014666
2025-07-17 19:00:00,Purnia,70.32,70.3199920541966,70.32000636386483
2025-07-17 20:00:00,Purnia,70.32,70.31999188500876,70.3200066085549
2025-07-17 21:00:00,Purnia,70.32,70.31999146321905,70.32000691211329
2025-07-17 22:00:00,Purnia,70.32,70.31999124698045,70.32000721553007
2025-07-15 13:00:00,Rohtas,20.84,20.83999997461995,20.84000002474915
2025-07-15 22:00:00,Rohtas,20.84,20.83999997466362,20.840000027316083
2025-07-15 23:00:00,Rohtas,20.84,20.839999973316164,20.84000002782811
2025-07-16 00:00:00,Rohtas,20.84,20.83999997032753,20.840000029820793
2025-07-16 01:00:00,Rohtas,20.84,20.839999968899146,20.840000034433615
2025-07-16 02:00:00,Rohtas,20.84,20.839999959149992,20.84000004368157
2025-07-16 03:00:00,Rohtas,20.84,20.83999995336943,20.840000061105837
2025-07-16 04:00:00,Rohtas,20.84,20.839999935126503,20.840000085720153
2025-07-16 05:00:00,Rohtas,20.84,20.839999919403144,20.8400001075504
2025-07-16 06:00:00,Rohtas,20.84,20.839999893739922,20.84000014019264
2025-07-16 07:00:00,Rohtas,20.84,20.839999849775047,20.840000184857754
2025-07-16 08:00:00,Rohtas,20.84,20.839999822953335,20.840000227889778
2025-07-16 09:00:00,Rohtas,20.84,20.83999979657725,20.840000266474892
2025-07-16 10:00:00,Rohtas,20.84,20.839999752060436,20.840000314231684
2025-07-16 11:00:00,Rohtas,20.84,20.839999714934635,20.84000034778771
2025-07-16 12:00:00,Rohtas,20.84,20.839999675309816,20.840000394385918
2025-07-16 13:00:00,Rohtas,20.84,20.839999637867614,20.840000415440258
2025-07-16 14:00:00,Rohtas,20.84,20.839999590214013,20.840000473891386
2025-07-16 15:00:00,Rohtas,20.84,20.839999544417644,20.840000513810296
2025-07-16 16:00:00,Rohtas,20.84,20.839999501958747,20.840000558633243
2025-07-16 17:00:00,Rohtas,20.84,20.839999465293797,20.840000612756835
2025-07-16 18:00:00,Rohtas,20.84,20.8399994096178,20.840000676761075
2025-07-16 19:00:00,Rohtas,20.84,20.839999371309204,20.840000729159964
2025-07-16 20:00:00,Rohtas,20.84,20.839999318713872,20.840000772947278
2025-07-16 21:00:00,Rohtas,20.84,20.839999256041885,20.8400008357144
2025-07-16 22:00:00,Rohtas,20.84,20.8399992021902,20.840000888095954
2025-07-16 23:00:00,Rohtas,20.84,20.839999160661826,20.840000925397373
2025-07-17 00:00:00,Rohtas,20.84,20.83999910243288,20.840000985928953
2025-07-17 01:00:00,Rohtas,20.84,20.839999057716806,20.840001050801874
2025-07-17 02:00:00,Rohtas,20.84,20.83999900039617,20.840001097340537
2025-07-17 03:00:00,Rohtas,20.84,20.839998939528225,20.840001158658648
2025-07-17 04:00:00,Rohtas,20.84,20.839998871759015,20.840001226035895
2025-07-17 05:00:00,Rohtas,20.84,20.839998800117257,20.84000128917853
2025-07-17 06:00:00,Rohtas,20.84,20.8399987544692,20.840001322877804
2025-07-17 07:00:00,Rohtas,20.84,20.839998704307856,20.840001375858343
2025-07-17 08:00:00,Rohtas,20.84,20.839998645067755,20.840001436185076
2025-07-17 09:00:00,Rohtas,20.84,20.83999859214596,20.840001525316847
2025-07-17 10:00:00,Rohtas,20.84,20.839998521812856,20.840001575940033
2025-07-17 11:00:00,Rohtas,20.84,20.839998465849135,20.84000165217838
2025-07-17 12:00:00,Rohtas,20.84,20.839998393890884,20.840001699078083
2025-07-17 13:00:00,Rohtas,20.84,20.83999831447049,20.840001774161014
