timestamp,city,latitude,longitude,temp_C,humidity_%,pm2_5_µg/m3,pm25_capped,pm25_smoothed,confidence
2025-07-15 22:00:00+05:30,Muzaffarpur,26.122,85.3906,28.24,74,,,15.51,high
2025-07-15 13:00:00+05:30,Nalanda,25.135,85.4438,30.46,63,48.08,48.08,48.08,high
2025-07-15 22:00:00+05:30,Nalanda,25.135,85.4438,27.36,84,,,48.08,high
2025-07-15 13:00:00+05:30,Nawada,24.8867,85.5437,28.47,74,40.17,40.17,40.17,high
2025-07-15 22:00:00+05:30,Nawada,24.8867,85.5437,26.59,88,,,40.17,high
2025-07-15 13:00:00+05:30,Patna,25.611,85.144,33.74,51,27.98,27.98,27.98,high
2025-07-15 22:00:00+05:30,Patna,25.611,85.144,28.14,77,,,27.98,high
2025-07-15 13:00:00+05:30,Purnia,25.778,87.4753,26.84,85,70.32,70.32,70.32,high
2025-07-15 22:00:00+05:30,Purnia,25.778,87.4753,26.45,89,,,70.32,high
2025-07-15 13:00:00+05:30,Rohtas,24.95,84.0167,33.07,54,20.84,20.84,20.84,high
2025-07-15 22:00:00+05:30,Rohtas,24.95,84.0167,28.29,79,,,20.84,high
2025-07-15 13:00:00+05:30,Saharsa,25.8804,86.6,28.33,77,32.03,32.03,32.03,high
2025-07-15 22:00:00+05:30,Saharsa,25.8804,86.6,26.39,89,,,32.03,high
2025-07-15 13:00:00+05:30,Samastipur,25.86,85.781,32.07,58,20.3,20.3,20.3,high
2025-07-15 22:00:00+05:30,Samastipur,25.86,85.781,27.41,81,,,20.3,high
2025-07-15 13:00:00+05:30,Saran,25.8552,84.8572,34.8,46,29.29,29.29,29.29,high
2025-07-15 22:00:00+05:30,Saran,25.8552,84.8572,28.54,74,,,29.29,high
2025-07-15 13:00:00+05:30,Sheikhpura,25.141,85.8457,30.43,65,49.61,49.61,49.61,high
2025-07-15 22:00:00+05:30,Sheikhpura,25.141,85.8457,27.21,85,,,49.61,high
2025-07-15 13:00:00+05:30,Sheohar,26.5132,85.2941,34.83,44,11.29,11.29,11.29,high
2025-07-15 22:00:00+05:30,Sheohar,26.5132,85.2941,29.06,68,,,11.29,high
2025-07-15 13:00:00+05:30,Sitamarhi,26.5933,85.4906,34.73,44,13.74,13.74,13.74,high
2025-07-15 22:00:00+05:30,Sitamarhi,26.5933,85.4906,28.96,68,,,13.74,high
2025-07-15 13:00:00+05:30,Siwan,26.2224,84.358,33.94,46,59.0,59.0,59.0,high
2025-07-15 22:00:00+05:30,Siwan,26.2224,84.358,29.26,67,,,59.0,high
2025-07-15 13:00:00+05:30,Supaul,26.1167,86.6,30.35,67,33.7,33.7,33.7,high
2025-07-15 22:00:00+05:30,Supaul,26.1167,86.6,26.09,91,,,33.7,high
2025-07-15 13:00:00+05:30,Vaishali,25.6937,85.2194,33.31,52,23.87,23.87,23.87,high
2025-07-15 22:00:00+05:30,Vaishali,25.6937,85.2194,28.07,77,,,23.87,high
2025-07-15 13:00:00+05:30,West Champaran,27.1306,84.362,34.32,46,59.78,59.78,59.78,high
2025-07-15 22:00:00+05:30,West Champaran,27.1306,84.362,29.65,69,,,59.78,high
